order,bill,tip,sex,smoker,day,time,size
Order166,24.52,3.48,Male,No,Sun,Dinner,2
Order167,20.76,2.24,Male,No,Sun,Dinner,2
Order168,31.71,4.5,Male,No,Sun,Dinner,2
Order169,10.59,1.61,Female,Yes,Sat,Dinner,2
Order170,10.63,2,Female,Yes,Sat,Dinner,2
Order171,50.81,10,Male,Yes,Sat,Dinner,2
Order172,15.81,3.16,Male,Yes,Sat,Dinner,2
Order173,7.25,5.15,Male,Yes,Sun,Dinner,2
Order174,31.85,3.18,Male,Yes,Sun,Dinner,2
Order175,16.82,4,Male,Yes,Sun,Dinner,2
Order176,32.9,3.11,Male,Yes,Sun,Dinner,2
Order177,17.89,2,Male,Yes,Sun,Dinner,2
Order178,14.48,2,Male,Yes,Sun,Dinner,2
Order179,9.6,4,Female,Yes,Sun,Dinner,2
Order180,34.63,3.55,Male,Yes,Sun,Dinner,2
Order181,34.65,3.68,Male,Yes,Sun,Dinner,2
Order182,23.33,5.65,Male,Yes,Sun,Dinner,2
Order183,45.35,3.5,Male,Yes,Sun,Dinner,2
Order184,23.17,6.5,Male,Yes,Sun,Dinner,2
Order185,40.55,3,Male,Yes,Sun,Dinner,2
Order186,20.69,5,Male,No,Sun,Dinner,2
Order187,20.9,3.5,Female,Yes,Sun,Dinner,2
Order188,30.46,2,Male,Yes,Sun,Dinner,2
Order189,18.15,3.5,Female,Yes,Sun,Dinner,2
Order190,23.1,4,Male,Yes,Sun,Dinner,2
Order191,15.69,1.5,Male,Yes,Sun,Dinner,2
Order192,19.81,4.19,Female,Yes,Thur,Lunch,2
Order193,28.44,2.56,Male,Yes,Thur,Lunch,2
Order194,15.48,2.02,Male,Yes,Thur,Lunch,2
Order195,16.58,4,Male,Yes,Thur,Lunch,2
Order196,7.56,1.44,Male,No,Thur,Lunch,2
Order197,10.34,2,Male,Yes,Thur,Lunch,2
Order198,43.11,5,Female,Yes,Thur,Lunch,2
Order199,13,2,Female,Yes,Thur,Lunch,2
Order200,13.51,2,Male,Yes,Thur,Lunch,2
Order201,18.71,4,Male,Yes,Thur,Lunch,2
Order202,12.74,2.01,Female,Yes,Thur,Lunch,2
Order203,13,2,Female,Yes,Thur,Lunch,2
Order204,16.4,2.5,Female,Yes,Thur,Lunch,2
Order205,20.53,4,Male,Yes,Thur,Lunch,2
Order206,16.47,3.23,Female,Yes,Thur,Lunch,2
Order207,26.59,3.41,Male,Yes,Sat,Dinner,2
Order208,38.73,3,Male,Yes,Sat,Dinner,2
Order209,24.27,2.03,Male,Yes,Sat,Dinner,2
Order210,12.76,2.23,Female,Yes,Sat,Dinner,2
Order211,30.06,2,Male,Yes,Sat,Dinner,2
Order212,25.89,5.16,Male,Yes,Sat,Dinner,2
Order213,48.33,9,Male,No,Sat,Dinner,2
Order214,13.27,2.5,Female,Yes,Sat,Dinner,2
Order215,28.17,6.5,Female,Yes,Sat,Dinner,2
Order216,12.9,1.1,Female,Yes,Sat,Dinner,2
Order217,28.15,3,Male,Yes,Sat,Dinner,2
Order218,11.59,1.5,Male,Yes,Sat,Dinner,2
Order219,7.74,1.44,Male,Yes,Sat,Dinner,2
Order220,30.14,3.09,Female,Yes,Sat,Dinner,2
Order221,12.16,2.2,Male,Yes,Fri,Lunch,2
Order222,13.42,3.48,Female,Yes,Fri,Lunch,2
Order223,8.58,1.92,Male,Yes,Fri,Lunch,2
Order224,15.98,3,Female,No,Fri,Lunch,2
Order225,13.42,1.58,Male,Yes,Fri,Lunch,2
Order226,16.27,2.5,Female,Yes,Fri,Lunch,2
Order227,10.09,2,Female,Yes,Fri,Lunch,2
Order228,20.45,3,Male,No,Sat,Dinner,2
Order229,13.28,2.72,Male,No,Sat,Dinner,2
Order230,22.12,2.88,Female,Yes,Sat,Dinner,2
Order231,24.01,2,Male,Yes,Sat,Dinner,2
Order232,15.69,3,Male,Yes,Sat,Dinner,2
Order233,11.61,3.39,Male,No,Sat,Dinner,2
Order234,10.77,1.47,Male,No,Sat,Dinner,2
Order235,15.53,3,Male,Yes,Sat,Dinner,2
Order236,10.07,1.25,Male,No,Sat,Dinner,2
Order237,12.6,1,Male,Yes,Sat,Dinner,2
Order238,32.83,1.17,Male,Yes,Sat,Dinner,2
Order239,35.83,4.67,Female,No,Sat,Dinner,2
Order240,29.03,5.92,Male,No,Sat,Dinner,2
Order241,27.18,2,Female,Yes,Sat,Dinner,1
Order242,22.67,2,Male,Yes,Sat,Dinner,1
Order243,17.82,1.75,Male,No,Sat,Dinner,1
Order244,18.78,3,Female,No,Thur,Dinner,1
